id,date,title,version,description,author,contributor,creator,github-link,zenodo-link,doi,doi-related,communities,rights,source,subject,type,file-links,file-types,file-checksums,json-downloaded
oai:zenodo.org:4675079,2021-04-09,dictionaria/sanzhi: Sanzhi Dargwa dictionary,v1.1,"Forker, Diana. 2019. Sanzhi Dargwa dictionary. Dictionaria 5. 1-5533. DOI: 10.5281/zenodo.3257634 (Available online at https://dictionaria.clld.org/contributions/sanzhi, Accessed on 2021-02-08.)",,,Diana Forker,url:https://github.com/dictionaria/sanzhi/tree/v1.1,https://zenodo.org/record/4675079,10.5281/zenodo.4675079,doi:10.5281/zenodo.3257633,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/d03029fe-1848-4487-84fd-24cbd369ebf9/dictionaria/sanzhi-v1.1.zip,zip,md5:28f430ec6332e640d6b87b63ed84d161,y
oai:zenodo.org:4675080,2021-04-09,dictionaria/nen: Nen Dictionary,v1.2,"Evans, Nicholas. 2019. Nen dictionary. Dictionaria 8. 1-5005 (Available online at https://dictionaria.clld.org/contributions/nen)",,,Nicholas Evans,url:https://github.com/dictionaria/nen/tree/v1.2,https://zenodo.org/record/4675080,10.5281/zenodo.4675080,doi:10.5281/zenodo.3345804,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/51932b14-89ad-4a99-b441-2343c142096d/dictionaria/nen-v1.2.zip,zip,md5:8ef9dada6d7e69097775b94be61dbb4a,y
oai:zenodo.org:4675089,2021-04-09,dictionaria/palula: Palula dictionary,v1.1,"Liljegren, Henrik. 2019. Palula dictionary. Dictionaria 3. 1-2700 (Available online at https://dictionaria.clld.org/contributions/palula)",,,Henrik Liljegren,url:https://github.com/dictionaria/palula/tree/v1.1,https://zenodo.org/record/4675089,10.5281/zenodo.4675089,doi:10.5281/zenodo.3066951,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/7d957258-5b98-4add-b630-ce4e4da06651/dictionaria/palula-v1.1.zip,zip,md5:136db245330fa89a39886f989fb67c08,y
oai:zenodo.org:4675092,2021-04-09,dictionaria/medialengua: Media Lengua dictionary,v1.1,"Visser, Eline. 2020. Kalamang dictionary. Dictionaria 13. 1-2737 (Available online at http://dictionaria.clld.org/contributions/kalamang)",,,Jesse Stewart\tGabriela Prado Ayala\tLucia Gonza Inlago,url:https://github.com/dictionaria/medialengua/tree/v1.1,https://zenodo.org/record/4675092,10.5281/zenodo.4675092,doi:10.5281/zenodo.4147098,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/38df0c81-439d-4652-8aa0-7dd541a5ffd9/dictionaria/medialengua-v1.1.zip,zip,md5:6aef5566be1863f2fc7cd71032ec3bc5,y
oai:zenodo.org:4675093,2021-04-09,dictionaria/kalamang: Kalamang dictionary,v1.1,"Visser, Eline. 2020. Kalamang dictionary. Dictionaria 13. 1-2737 (Available online at http://dictionaria.clld.org/contributions/kalamang)",,,Eline Visser,url:https://github.com/dictionaria/kalamang/tree/v1.1,https://zenodo.org/record/4675093,10.5281/zenodo.4675093,doi:10.5281/zenodo.4297473,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/0480b9d9-73e5-4069-9609-e03f019d7b9a/dictionaria/kalamang-v1.1.zip,zip,md5:78ded71d28987947f8aef4c9b8534305,y
oai:zenodo.org:4675098,2021-04-09,dictionaria/hdi: Hdi Dictionary,v1.2,"Frajzyngier, Zygmunt and Eguchi, Paul and Prafé, Roger and Schwabauer, Megan (with Erin Shay, Henry Tourneux). 2017. Hdi dictionary. Dictionaria 2. 1-1681. DOI: 10.5281/zenodo.3067648 (Available online at https://dictionaria.clld.org/contributions/hdi)",,,Zygmunt Frajzyngier\tPaul Eguchi\tRoger Prafé\tMegan Schwabauer\tErin Shay\tHenry Tourneux,url:https://github.com/dictionaria/hdi/tree/v1.2,https://zenodo.org/record/4675098,10.5281/zenodo.4675098,doi:10.5281/zenodo.3067648,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/e095ef51-dc04-418c-abf2-879ad2fa081f/dictionaria/hdi-v1.2.zip,zip,md5:c37e85ba2a2a6de78524b80d7894e96f,y
oai:zenodo.org:4675101,2021-04-09,dictionaria/guarayu: Guarayu. A revised dictionary by Alfred Hoeller,v1.1,"Danielsen, Swintha and Sell, Lena and Terhart, Lena. 2019. Guarayu. A revised dictionary by Alfred Hoeller. Dictionaria 7. 1-3590 (Available online at https://dictionaria.clld.org/contributions/guarayu)",,,Swintha Danielsen\tLena Sell\tLena Terhart,url:https://github.com/dictionaria/guarayu/tree/v1.1,https://zenodo.org/record/4675101,10.5281/zenodo.4675101,doi:10.5281/zenodo.3340717,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/1953c753-25b7-4763-8769-bcdcfa70c5e8/dictionaria/guarayu-v1.1.zip,zip,md5:99a70f2756a6b8e6135dab36cbfaebad,y
oai:zenodo.org:4675104,2021-04-09,dictionaria/diidxaza: La Ventosa Diidxazá Lexico-Botanical Dictionary,v1.1,"Pérez Báez, Gabriela and Kaufman, Terrence. 2018. La Ventosa Diidxazá Lexico-Botanical Dictionary. Dictionaria 5. 1-952 (Available online at https://dictionaria.clld.org/contributions/diidxaza)",,,Gabriela Pérez Báez\tTerrence Kaufman,url:https://github.com/dictionaria/diidxaza/tree/v1.1,https://zenodo.org/record/4675104,10.5281/zenodo.4675104,doi:10.5281/zenodo.3451856,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/725c2d2c-7cdd-423e-929e-15a4bb8d9dc0/dictionaria/diidxaza-v1.1.zip,zip,md5:d73e403827d2b43fd4f67524ddef412f,y
oai:zenodo.org:4675107,2021-04-09,dictionaria/daakaka: Daakaka Dictionary,v1.2,"von Prince, Kilu. 2017. Daakaka dictionary. Dictionaria 1. 1-2167 (Available online at https://dictionaria.clld.org/contributions/daakaka)",,,Kilu von Prince,url:https://github.com/dictionaria/daakaka/tree/v1.2,https://zenodo.org/record/4675107,10.5281/zenodo.4675107,doi:10.5281/zenodo.3067380,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/cdcbbece-20d4-4543-a108-3693d08c5035/dictionaria/daakaka-v1.2.zip,zip,md5:3e449cae4edbd0d62281fae87dc98dfe,y
oai:zenodo.org:4676276,2021-04-09,dictionaria/iquito: Iquito dictionary,v1.0,"Michael, Lev and Beier, Christine. 2021. Iquito dictionary. Dictionaria 14. 1-4128 (Available online at https://dictionaria.clld.org/contributions/iquito, Accessed on 2021-04-09.)",,,Lev Michael\tChristine Beier,url:https://github.com/dictionaria/iquito/tree/v1.0,https://zenodo.org/record/4676276,10.5281/zenodo.4676276,doi:10.5281/zenodo.4676275,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/d09447e9-7b4f-4073-8d3e-852a5c9e9c71/dictionaria/iquito-v1.0.zip,zip,md5:19f818cd1bb7b2d6767ed5dfe04b21fa,y
